Rank,Nome,Avaliacao
1,Brass: Birmingham,8.61
2,Pandemic Legacy: Season 1,8.53
3,Gloomhaven,8.61
4,Ark Nova,8.53
5,Twilight Imperium: Fourth Edition,8.61
6,Terraforming Mars,8.37
7,Dune: Imperium,8.42
8,Gloomhaven: Jaws of the Lion,8.47
9,War of the Ring: Second Edition,8.53
10,Star Wars: Rebellion,8.42
11,Spirit Island,8.35
12,Gaia Project,8.39
13,Twilight Struggle,8.25
14,Through the Ages: A New Story of Civilization,8.30
15,Great Western Trail,8.21
16,The Castles of Burgundy,8.13
17,Scythe,8.16
18,7 Wonders Duel,8.10
19,Eclipse: Second Dawn for the Galaxy,8.48
20,Brass: Lancashire,8.19
21,Nemesis,8.28
22,Clank! Legacy: Acquisitions Incorporated,8.56
23,Concordia,8.10
24,A Feast for Odin,8.18
25,Wingspan,8.06
26,Terra Mystica,8.07
27,Arkham Horror: The Card Game,8.13
28,Lost Ruins of Arnak,8.08
29,Great Western Trail: Second Edition,8.37
30,Root,8.08
31,Orléans,8.06
32,Everdell,8.04
33,Mage Knight Board Game,8.09
34,Barrage,8.18
35,Viticulture Essential Edition,8.00
36,The Crew: Mission Deep Sea,8.18
37,Too Many Bones,8.35
38,Food Chain Magnate,8.07
39,Frosthaven,8.87
40,Pax Pamir: Second Edition,8.22
41,Marvel Champions: The Card Game,8.13
42,Underwater Cities,8.07
43,Puerto Rico,7.92
44,Caverna: The Cave Farmers,7.95
45,Cascadia,7.97
46,Blood Rage,7.94
47,Anachrony,8.08
48,On Mars,8.21
49,Agricola,7.88
50,Crokinole,8.02
51,Heat: Pedal to the Metal,8.09
52,Sleeping Gods,8.26
53,Kanban EV,8.44
54,Pandemic Legacy: Season 0,8.42
55,Pandemic Legacy: Season 2,8.04
101,Raiders of the North Sea,7.74
56,Mansions of Madness: Second Edition,7.96
57,Lisboa,8.19
102,Caylus,7.72
58,Maracaibo,8.05
59,Tzolk'in: The Mayan Calendar,7.86
103,Tigris & Euphrates,7.71
104,Dominion: Intrigue,7.69
60,Power Grid,7.82
61,The Quacks of Quedlinburg,7.83
105,Lorenzo il Magnifico,7.85
106,Troyes,7.72
62,Clans of Caledonia,7.95
63,Le Havre,7.85
